run,det,des,keypoints,det_time_ms,des_time_ms,size_mu,size_std,matches
0,HARRIS,BRISK,115,0.0365783,0.00666709,6,0,0
1,HARRIS,BRISK,98,0.0172906,0.00128391,6,0,12
2,HARRIS,BRISK,113,0.0181901,0.00160623,6,0,10
3,HARRIS,BRISK,121,0.0172804,0.00135614,6,0,14
4,HARRIS,BRISK,160,0.0174854,0.00139189,6,0,15
5,HARRIS,BRISK,383,0.0324413,0.000744438,6,0,16
6,HARRIS,BRISK,85,0.0176543,0.00144217,6,0,16
7,HARRIS,BRISK,210,0.0202046,0.00142018,6,0,15
8,HARRIS,BRISK,171,0.0181223,0.00138323,6,0,23
9,HARRIS,BRISK,281,0.0227675,0.00158022,6,0,21
0,HARRIS,BRIEF,115,0.0166024,0.00113196,6,0,0
1,HARRIS,BRIEF,98,0.016588,0.00103591,6,0,12
2,HARRIS,BRIEF,113,0.0170899,0.000925493,6,0,12
3,HARRIS,BRIEF,121,0.0169185,0.000841293,6,0,15
4,HARRIS,BRIEF,160,0.0169837,0.0010295,6,0,18
5,HARRIS,BRIEF,383,0.0315016,0.000959708,6,0,24
6,HARRIS,BRIEF,85,0.0156705,0.00103337,6,0,20
7,HARRIS,BRIEF,210,0.0192704,0.00083206,6,0,15
8,HARRIS,BRIEF,171,0.0169436,0.000796812,6,0,24
9,HARRIS,BRIEF,281,0.0232987,0.001239,6,0,22
0,HARRIS,ORB,115,0.0169957,0.00393364,6,0,0
1,HARRIS,ORB,98,0.0178625,0.000936473,6,0,14
2,HARRIS,ORB,113,0.0165286,0.000969096,6,0,11
3,HARRIS,ORB,121,0.0165767,0.000941846,6,0,15
4,HARRIS,ORB,160,0.0166143,0.000980547,6,0,20
5,HARRIS,ORB,383,0.0324249,0.00105482,6,0,24
6,HARRIS,ORB,85,0.0160708,0.000921233,6,0,26
7,HARRIS,ORB,210,0.0179889,0.001165,6,0,16
8,HARRIS,ORB,171,0.0169389,0.000982571,6,0,24
9,HARRIS,ORB,281,0.0220903,0.00111461,6,0,23
0,HARRIS,FREAK,115,0.0164724,0.00103602,6,0,0
1,HARRIS,FREAK,98,0.0176222,0.000912768,6,0,14
2,HARRIS,FREAK,113,0.0164831,0.00091216,6,0,11
3,HARRIS,FREAK,121,0.0170012,0.000939149,6,0,15
4,HARRIS,FREAK,160,0.0162041,0.000960774,6,0,20
5,HARRIS,FREAK,383,0.0306869,0.00035584,6,0,24
6,HARRIS,FREAK,85,0.0171119,0.000968995,6,0,26
7,HARRIS,FREAK,210,0.0183961,0.000992952,6,0,16
8,HARRIS,FREAK,171,0.0170117,0.000295342,6,0,24
9,HARRIS,FREAK,281,0.0226134,0.000316071,6,0,23
0,HARRIS,AKAZE,115,0.0175686,0.000284673,6,0,0
1,HARRIS,AKAZE,98,0.0163453,0.000895391,6,0,14
2,HARRIS,AKAZE,113,0.0165659,0.001093,6,0,11
3,HARRIS,AKAZE,121,0.0156937,0.000943755,6,0,15
4,HARRIS,AKAZE,160,0.0162972,0.00098062,6,0,20
5,HARRIS,AKAZE,383,0.0307628,0.00116979,6,0,24
6,HARRIS,AKAZE,85,0.0158562,0.000969825,6,0,26
7,HARRIS,AKAZE,210,0.0178599,0.00105164,6,0,16
8,HARRIS,AKAZE,171,0.0172102,0.000960959,6,0,24
9,HARRIS,AKAZE,281,0.0214573,0.000967058,6,0,23
0,HARRIS,SIFT,115,0.0149862,0.000252923,6,0,0
1,HARRIS,SIFT,98,0.0165628,0.000993177,6,0,14
2,HARRIS,SIFT,113,0.0169414,0.000945267,6,0,11
3,HARRIS,SIFT,121,0.0163261,0.00104433,6,0,15
4,HARRIS,SIFT,160,0.0171535,0.00101805,6,0,20
5,HARRIS,SIFT,383,0.0324604,0.00128264,6,0,24
6,HARRIS,SIFT,85,0.0161255,0.00099948,6,0,26
7,HARRIS,SIFT,210,0.0176435,0.000970681,6,0,16
8,HARRIS,SIFT,171,0.0185024,0.000973629,6,0,24
9,HARRIS,SIFT,281,0.0219419,0.000957096,6,0,23
0,FAST,BRISK,1824,0.00208735,0.00188763,7,0,0
1,FAST,BRISK,1832,0.00151636,0.00179454,7,0,97
2,FAST,BRISK,1810,0.0015695,0.00178865,7,0,104
3,FAST,BRISK,1817,0.00149582,0.00205706,7,0,101
4,FAST,BRISK,1793,0.00142951,0.00180611,7,0,98
5,FAST,BRISK,1796,0.00153327,0.00180958,7,0,85
6,FAST,BRISK,1788,0.00166975,0.00181762,7,0,107
7,FAST,BRISK,1695,0.00141058,0.0020035,7,0,107
8,FAST,BRISK,1749,0.00177009,0.00162217,7,0,100
9,FAST,BRISK,1770,0.00147959,0.00170041,7,0,100
0,FAST,BRIEF,1824,0.00147162,0.0010367,7,0,0
